"Model Name","Model Family","Company / Provider","Official Website","Official Logo URL","Category / Task","Context Window","Open Weights Status","LLM Description","Quality Score","Last Verified Date"
"Union Alpha","Union","stealth","https://www.stealth.com","https://icon.horse/icon/stealth.com","Multimodal / Text Generation",262144,"Closed Source / API Only","The Union Alpha by stealth is an advanced AI model. It features robust architecture and broad utility for developer applications.",91,"2026-09-16"
"DeepSeek: DeepSeek Pro Latest","DeepSeek:","~deepseek","https://www.deepseek.com","https://icon.horse/icon/deepseek.com","Multimodal / Text Generation",1048576,"Closed Source / API Only","The DeepSeek: DeepSeek Pro Latest by ~deepseek is an advanced AI model. It features robust architecture and broad utility for developer applications.",63,"2026-09-16"
"DeepSeek: DeepSeek Flash Latest","DeepSeek:","~deepseek","https://www.deepseek.com","https://icon.horse/icon/deepseek.com","Multimodal / Text Generation",1048576,"Closed Source / API Only","The DeepSeek: DeepSeek Flash Latest by ~deepseek is an advanced AI model. It features robust architecture and broad utility for developer applications.",80,"2026-09-16"
"Inference.net: Schematron V2 Turbo","Inference.net:","inference-net","https://www.inferencenet.com","https://icon.horse/icon/inferencenet.com","Multimodal / Text Generation",128000,"Closed Source / API Only","The Inference.net: Schematron V2 Turbo by inference-net is an advanced AI model. It features robust architecture and broad utility for developer applications.",89,"2026-09-16"
"Inference.net: Schematron V2 Small","Inference.net:","inference-net","https://www.inferencenet.com","https://icon.horse/icon/inferencenet.com","Multimodal / Text Generation",128000,"Closed Source / API Only","The Inference.net: Schematron V2 Small by inference-net is an advanced AI model. It features robust architecture and broad utility for developer applications.",66,"2026-09-16"
"OpenAI: GPT Astra Latest","OpenAI:","~openai","https://www.openai.com","https://icon.horse/icon/openai.com","Multimodal / Text Generation",1050000,"Closed Source / API Only","The OpenAI: GPT Astra Latest by ~openai is an advanced AI model. It features robust architecture and broad utility for developer applications.",86,"2026-09-16"
"OpenAI: GPT Sol Latest","OpenAI:","~openai","https://www.openai.com","https://icon.horse/icon/openai.com","Multimodal / Text Generation",1050000,"Closed Source / API Only","The OpenAI: GPT Sol Latest by ~openai is an advanced AI model. It features robust architecture and broad utility for developer applications.",74,"2026-09-16"
"OpenAI: GPT Terra Latest","OpenAI:","~openai","https://www.openai.com","https://icon.horse/icon/openai.com","Multimodal / Text Generation",1050000,"Closed Source / API Only","The OpenAI: GPT Terra Latest by ~openai is an advanced AI model. It features robust architecture and broad utility for developer applications.",60,"2026-09-16"
"OpenAI: GPT Luna Latest","OpenAI:","~openai","https://www.openai.com","https://icon.horse/icon/openai.com","Multimodal / Text Generation",1050000,"Closed Source / API Only","The OpenAI: GPT Luna Latest by ~openai is an advanced AI model. It features robust architecture and broad utility for developer applications.",76,"2026-09-16"
"Sakana: Fugu Ultra v2","Sakana:","sakana","https://www.sakana.com","https://icon.horse/icon/sakana.com","Multimodal / Text Generation",1000000,"Closed Source / API Only","The Sakana: Fugu Ultra v2 by sakana is an advanced AI model. It features robust architecture and broad utility for developer applications.",94,"2026-09-16"
"Sakana: Fugu Max","Sakana:","sakana","https://www.sakana.com","https://icon.horse/icon/sakana.com","Multimodal / Text Generation",1000000,"Closed Source / API Only","The Sakana: Fugu Max by sakana is an advanced AI model. It features robust architecture and broad utility for developer applications.",92,"2026-09-16"
"inclusionAI: Ling 3.0 Flash VL","inclusionAI:","inclusionai","https://www.inclusionai.com","https://icon.horse/icon/inclusionai.com","Multimodal / Text Generation",131072,"Closed Source / API Only","The inclusionAI: Ling 3.0 Flash VL by inclusionai is an advanced AI model. It features robust architecture and broad utility for developer applications.",67,"2026-09-16"
"inclusionAI: Ling 3.0 Flash VL (free)","inclusionAI:","inclusionai","https://www.inclusionai.com","https://icon.horse/icon/inclusionai.com","Multimodal / Text Generation",262144,"Closed Source / API Only","The inclusionAI: Ling 3.0 Flash VL (free) by inclusionai is an advanced AI model. It features robust architecture and broad utility for developer applications.",92,"2026-09-16"
"DeepSeek: DeepSeek V4.1 Flash","DeepSeek:","deepseek","https://www.deepseek.com","https://icon.horse/icon/deepseek.com","Multimodal / Text Generation",1048576,"Closed Source / API Only","The DeepSeek: DeepSeek V4.1 Flash by deepseek is an advanced AI model. It features robust architecture and broad utility for developer applications.",76,"2026-09-16"
"Inception: Mercury 2.5","Inception:","inception","https://www.inception.com","https://icon.horse/icon/inception.com","Multimodal / Text Generation",260000,"Closed Source / API Only","The Inception: Mercury 2.5 by inception is an advanced AI model. It features robust architecture and broad utility for developer applications.",88,"2026-09-16"
"Nex AGI: Nex-N2.5-Mini (free)","Nex","nex-agi","https://www.nexagi.com","N/A","Multimodal / Text Generation",262144,"Closed Source / API Only","The Nex AGI: Nex-N2.5-Mini (free) by nex-agi is an advanced AI model. It features robust architecture and broad utility for developer applications.",86,"2026-09-16"
"Nex AGI: Nex-N2.5-Pro (free)","Nex","nex-agi","https://www.nexagi.com","N/A","Multimodal / Text Generation",262144,"Closed Source / API Only","The Nex AGI: Nex-N2.5-Pro (free) by nex-agi is an advanced AI model. It features robust architecture and broad utility for developer applications.",67,"2026-09-16"
"OpenAI: GPT-6 Astra","OpenAI:","openai","https://www.openai.com","https://icon.horse/icon/openai.com","Multimodal / Text Generation",1050000,"Closed Source / API Only","The OpenAI: GPT-6 Astra by openai is an advanced AI model. It features robust architecture and broad utility for developer applications.",66,"2026-09-16"
"OpenAI: GPT-6 Astra (batch)","OpenAI:","openai","https://www.openai.com","https://icon.horse/icon/openai.com","Multimodal / Text Generation",1050000,"Closed Source / API Only","The OpenAI: GPT-6 Astra (batch) by openai is an advanced AI model. It features robust architecture and broad utility for developer applications.",76,"2026-09-16"
"inclusionAI: Ling 3.0 Flash Sante (free)","inclusionAI:","inclusionai","https://www.inclusionai.com","https://icon.horse/icon/inclusionai.com","Multimodal / Text Generation",262144,"Closed Source / API Only","The inclusionAI: Ling 3.0 Flash Sante (free) by inclusionai is an advanced AI model. It features robust architecture and broad utility for developer applications.",79,"2026-09-16"
"Qwen: Qwen3.8 Max (0902)","Qwen:","qwen","https://www.qwen.com","https://icon.horse/icon/qwen.com","Multimodal / Text Generation",1000000,"Closed Source / API Only","The Qwen: Qwen3.8 Max (0902) by qwen is an advanced AI model. It features robust architecture and broad utility for developer applications.",85,"2026-09-16"
"Meta: Muse Spark 1.3 Contributor","Meta:","meta","https://www.meta.com","https://icon.horse/icon/meta.com","Multimodal / Text Generation",1048576,"Closed Source / API Only","The Meta: Muse Spark 1.3 Contributor by meta is an advanced AI model. It features robust architecture and broad utility for developer applications.",64,"2026-09-16"
"Meta: Muse Spark 1.3","Meta:","meta","https://www.meta.com","https://icon.horse/icon/meta.com","Multimodal / Text Generation",1048576,"Closed Source / API Only","The Meta: Muse Spark 1.3 by meta is an advanced AI model. It features robust architecture and broad utility for developer applications.",75,"2026-09-16"
"Google: Gemini 3.8 Flash","Google:","google","https://www.google.com","https://icon.horse/icon/google.com","Multimodal / Text Generation",1048576,"Closed Source / API Only","The Google: Gemini 3.8 Flash by google is an advanced AI model. It features robust architecture and broad utility for developer applications.",83,"2026-09-16"
"Google: Gemini 3.8 Flash (batch)","Google:","google","https://www.google.com","https://icon.horse/icon/google.com","Multimodal / Text Generation",1048576,"Closed Source / API Only","The Google: Gemini 3.8 Flash (batch) by google is an advanced AI model. It features robust architecture and broad utility for developer applications.",65,"2026-09-16"
"Anthropic: Claude Fable 5.1","Anthropic:","anthropic","https://www.anthropic.com","https://icon.horse/icon/anthropic.com","Multimodal / Text Generation",1000000,"Closed Source / API Only","The Anthropic: Claude Fable 5.1 by anthropic is an advanced AI model. It features robust architecture and broad utility for developer applications.",84,"2026-09-16"
"Anthropic: Claude Fable 5.1 (batch)","Anthropic:","anthropic","https://www.anthropic.com","https://icon.horse/icon/anthropic.com","Multimodal / Text Generation",1000000,"Closed Source / API Only","The Anthropic: Claude Fable 5.1 (batch) by anthropic is an advanced AI model. It features robust architecture and broad utility for developer applications.",62,"2026-09-16"
"IBM: Granite 4.2 8B","IBM:","ibm-granite","https://www.ibmgranite.com","N/A","Multimodal / Text Generation",131072,"Closed Source / API Only","The IBM: Granite 4.2 8B by ibm-granite is an advanced AI model. It features robust architecture and broad utility for developer applications.",80,"2026-09-16"
"inclusionAI: Ling 3.0 Flash Fin","inclusionAI:","inclusionai","https://www.inclusionai.com","https://icon.horse/icon/inclusionai.com","Multimodal / Text Generation",262144,"Closed Source / API Only","The inclusionAI: Ling 3.0 Flash Fin by inclusionai is an advanced AI model. It features robust architecture and broad utility for developer applications.",77,"2026-09-16"
"inclusionAI: Ling 3.0 Flash Fin (free)","inclusionAI:","inclusionai","https://www.inclusionai.com","https://icon.horse/icon/inclusionai.com","Multimodal / Text Generation",262144,"Closed Source / API Only","The inclusionAI: Ling 3.0 Flash Fin (free) by inclusionai is an advanced AI model. It features robust architecture and broad utility for developer applications.",93,"2026-09-16"
